recipe_name,directions,category,nutrition,img_src,ingredients_parsed,tags,total_mins
Apple Turnovers,"Combine the lemon and 4 cups water in a large bowl. Place the sliced apples in the water to keep them from browning.
Melt butter in a large skillet over medium heat. Drain water from apples and place them into the hot skillet. Cook and stir for about 2 minutes. Add brown sugar and cinnamon and cook stirring for 2 more minutes. Stir together cornstarch and 1 tablespoon water. Pour into the skillet and mix well. Cook for another minute or until sauce has thickened. Remove from heat to cool slightly.
Preheat the oven to 400 degrees F (200 degrees C).
Unfold puff pastry sheets and repair any cracks by pressing them back together. Trim each sheet into a square. Then cut each larger square into 4 smaller squares. Spoon apples onto the center of each squares. Fold over from corner to corner into a triangle shape and press edges together to seal. Place turnovers on a baking sheet leaving about 1 inch between them.
Bake for 25 minutes in the preheated oven until turnovers are puffed and lightly browned. Cool completely before glazing.
To make the glaze mix together the confectioners sugar milk and vanilla in a small bowl. Adjust the thickness by adding more sugar or milk if necessary. Drizzle glaze over the cooled turnovers.











Dotdash Meredith Food Studios
",Desserts,"Total Fat: 26.0, Saturated Fat: 8.0, Total Carbohydrate: 80.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/6EpK8eOrDHd4MMlY4u4aXTOPtHA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/59124-AppleTurnovers-mfs-2X3-1645-dea040eab9a84c7483c411988b92d134.jpg,"quantity: 960 unit: ml ingredient: water quantity: 4.0 unit: piece ingredient: Granny Smith apples - peeled quantity: 30 unit: g ingredient: butter quantity: 210 unit: g ingredient: brown sugar quantity: 5 unit: g ingredient: ground cinnamon quantity: 15 unit: g ingredient: cornstarch quantity: 15 unit: g ingredient: water quantity: 1.0 unit: package ingredient: frozen puff pastry sheets quantity: 210 unit: g ingredient: ""confectioners sugar"" quantity: 15 unit: g ingredient: milk quantity: 5 unit: g ingredient: vanilla extract","apple, brown sugar, butter, cinnamon, cornstarch, juice, lemon, lemon juice, milk, puff pastry, sugar, vanilla, vanilla extract, water",55
Apple Crisp - Perfect and Easy,"Preheat the oven to 375 degrees F (190 degrees C). Lightly grease an 8-inch square baking dish.
Arrange apple slices evenly in the prepared baking dish. Sift flour sugar cinnamon and salt into a bowl. Cut in butter using a pastry blender or 2 knives until mixture resembles coarse cornmeal; sprinkle over apples.
Bake in the preheated oven until topping is golden 40 to 45 minutes. Cool slightly before serving.











naples34102
",Desserts,"Total Fat: 16.0, Saturated Fat: 10.0, Total Carbohydrate: 56.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/hPRM3eLo_H-Z2kSeRRizL0El3ao=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1046883-apple-crisp-perfect-and-easy-naples34102-e505af44f7d9409ba48fc00e15efa036.jpeg,quantity: 128 unit: g ingredient: sifted all-purpose flour quantity: 210 unit: g ingredient: white sugar quantity: 2 unit: g ingredient: ground cinnamon quantity: 1 unit: g ingredient: salt quantity: 114 unit: g ingredient: butter,"apple, butter, cinnamon, flour, salt, sugar",60
The Best Caramel Apples,"Bring a large saucepan of water to a boil. Dip apples in boiling water for a few seconds using a slotted spoon then dry with paper towels to remove any wax from the peels. Set apples aside to cool completely about 30 minutes.
Insert sticks into the bottom of each cooled apple through the core for a handle.
Line a baking sheet with parchment paper.
Stir brown sugar sweetened condensed milk corn syrup and butter together in a saucepan over medium-high heat. Bring to a boil stirring constantly then reduce heat to medium. Cook until a candy thermometer reads 248 degrees F (120 degrees C) stirring constantly to prevent burning about 25 to 30 minutes. A teaspoon of caramel dropped in a glass of cold water should form a firm ball. Remove caramel from heat and stir in vanilla extract.
Working quickly dip each apple into the hot caramel to completely coat the apple and about 1/2 inch of the wooden handle. Sprinkle apples with any desired toppings while still hot. Let caramel apples cool on the prepared baking sheet about 1 hour. Use caution caramel is very hot.",Desserts,"Total Fat: 28.0, Saturated Fat: 17.0, Total Carbohydrate: 142.0, Dietary Fiber: 5.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/8WP_nMIwgAzfbycBFQYUMEoBkfk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5939512-2a490b670e524c628534909ed0af4842.jpg,quantity: 8.0 unit: piece ingredient: wooden chopsticks for handles quantity: 420 unit: g ingredient: packed brown sugar quantity: 1.0 unit: can ingredient: sweetened condensed milk quantity: 240 unit: ml ingredient: light corn syrup quantity: 228 unit: g ingredient: butter quantity: 10 unit: g ingredient: vanilla extract,"apple, brown sugar, butter, condensed milk, corn, corn syrup, milk, sugar, syrup, tart, vanilla, vanilla extract, wooden chopstick",135
Mulligatawny Soup,"Melt butter in a large soup pot over medium heat. Add onions celery and carrot and sauté until soft 5 to 7 minutes. Add flour and curry and cook 5 more minutes stirring frequently. Add chicken broth mix well and bring to a boil. Reduce heat and simmer for about 30 minutes.
Add apple rice chicken thyme salt and pepper. Simmer until rice is tender 15 to 20 minutes.
Just before serving stir in hot cream.











TheBritishBaker
",Soups Stews and Chili Recipes,"Total Fat: 16.0, Saturated Fat: 10.0, Total Carbohydrate: 14.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/c5rvXd4iW32dqTECe4PNisvQVDQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/804799-33945c287a0d46b4acce8f0247ebf88c.jpg,quantity: 2.0 unit: piece ingredient: stalks celery quantity: 1.0 unit: piece ingredient: carrot quantity: 57 unit: g ingredient: butter quantity: 22 unit: g ingredient: all-purpose flour quantity: 8 unit: g ingredient: curry powder quantity: 960 unit: ml ingredient: chicken broth quantity: 0.5 unit: piece ingredient: apple quantity: 50 unit: g ingredient: white rice quantity: 1 unit: g ingredient: dried thyme quantity: 120 unit: ml ingredient: heavy cream,"apple, butter, carrot, celery, chicken, chicken broth, cream, curry, flour, heavy cream, onion, rice, thyme, white rice",80
Sauteed Apples,"Melt butter in a large skillet or saucepan over medium heat; add apples and cook stirring constantly until almost tender 6 to 7 minutes.
Mix water and cornstarch together in a small bowl until cornstarch is dissolved; pour over apples. Stir in brown sugar and cinnamon. Bring to a boil for 2 minutes stirring occasionally. Remove from heat and serve warm.











dotdash meredith food studios
",Side Dish,"Total Fat: 6.0, Saturated Fat: 4.0, Total Carbohydrate: 24.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/pTjoToZum_x5Ki9khNk_SSe7MEs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/21672-SauteedApples-ddmfs-1X1-0061-fe2952cf8a6148959bd0076742996deb.jpg,quantity: 4.0 unit: piece ingredient: large tart apples - peeled quantity: 120 unit: ml ingredient: cold water quantity: 10 unit: g ingredient: cornstarch quantity: 105 unit: g ingredient: brown sugar quantity: 2 unit: g ingredient: ground cinnamon,"apple, brown sugar, butter, cinnamon, cornstarch, sugar, tart, water",20
Homemade Apple Cider,"Place apples in a large stockpot; cover with water by at least 2 inches. Stir in sugar cinnamon and allspice. Bring to a boil over medium-high heat. Boil uncovered for 1 hour. Reduce heat; cover and simmer for 2 hours.
Strain apple mixture through a fine-mesh sieve; discard solids. Drain cider again through a cheesecloth-lined sieve.
Refrigerate cider until cold about 4 hours.











 LaDonna Langwell
",Drinks Recipes,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 22.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/M0dm6zV9huJMIy70_9np9ztM4Sw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Homemade-Apple-Cider-LaDonna-Langwell-1x1-1-a6afe5b44bd246d39e597ed59281bbd5.jpg,quantity: 158 unit: g ingredient: white sugar quantity: 15 unit: g ingredient: ground cinnamon quantity: 15 unit: g ingredient: ground allspice,"allspice, apple, cinnamon, sugar",435
Canned Apple Pie Filling,"Mix sugar cornstarch cinnamon and nutmeg in a large pan. Add water and salt and mix well. Bring to a boil and cook until thick and bubbly. Remove from heat and add lemon juice and food coloring.
Sterilize canning jars lids and rings by boiling them in a large pot of water.
Peel core and slice apples. Pack the sliced apples into hot canning jars leaving a 1/2 inch of headspace.
Fill jars with hot syrup and gently remove air bubbles with a knife.
Put lids on and process in a water bath canner for 20 minutes.",Desserts,"Total Fat: 0.0, Saturated Fat: 0, Total Carbohydrate: 25.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/qcarmR-fmWcDZGS8BGjP51tm9Eg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1426682-1c6ec83bc56b426b9d812e0a26b1a739.jpg,quantity: 240 unit: ml ingredient: cornstarch quantity: 10 unit: g ingredient: ground cinnamon quantity: 1 unit: g ingredient: ground nutmeg quantity: 2400 unit: ml ingredient: water quantity: 10 unit: g ingredient: salt quantity: 45 unit: g ingredient: lemon juice quantity: 2.0 unit: piece ingredient: drops yellow food coloring quantity: 2700 unit: g ingredient: apples,"apple, cinnamon, cornstarch, food coloring, juice, lemon, lemon juice, nutmeg, salt, sugar, water",60
Apple Crumb Pie,"Preheat the oven to 375 degrees F (190 degrees C).
Place sliced apples in a large bowl; sprinkle with lemon juice. Mix white sugar 2 tablespoons flour cinnamon and nutmeg together in a small bowl; sprinkle mixture over apples and toss until evenly coated. Stir in raisins and walnuts; transfer mixture into pie shell.
Mix 1/2 cup flour and brown sugar together in a small bowl. Blend in butter with a fork until mixture is crumbly; sprinkle over apple filling. Cover top of pie loosely with aluminum foil.
Bake in the preheated oven for 25 minutes. Remove foil and bake until top is golden brown and filling is bubbly about 25 to 30 minutes more. Cool on a wire rack before serving.",Desserts,"Total Fat: 15.0, Saturated Fat: 4.0, Total Carbohydrate: 70.0, Dietary Fiber: 4.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/3qY9aBqD34LmSObh2KKQZatIjE8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/15587-apple-crumb-pie-ddmfs-4x3-1-dc4ac2e030e04d60a7650ede077f3c45.jpg,quantity: 15 unit: g ingredient: lemon juice (Optional) quantity: 158 unit: g ingredient: white sugar quantity: 30 unit: g ingredient: all-purpose flour quantity: 2 unit: g ingredient: ground cinnamon quantity: 1 unit: g ingredient: ground nutmeg quantity: 120 unit: ml ingredient: raisins (Optional) quantity: 120 unit: ml ingredient: chopped walnuts (Optional) quantity: 1.0 unit: piece ingredient: pie shell quantity: 64 unit: g ingredient: all-purpose flour quantity: 105 unit: g ingredient: packed brown sugar quantity: 45 unit: g ingredient: butter,"apple, brown sugar, butter, cinnamon, flour, juice, lemon, lemon juice, nutmeg, raisin, sugar, walnut",80
Caramel Apples,"Remove the stem from each apple and press a craft stick into the top. Spray a baking sheet with cooking spray.
Place caramels and milk in a microwave-safe bowl; microwave for 2 minutes stirring once. Set aside to cool briefly.
Roll each apple quickly in caramel sauce until well coated. Place on prepared sheet to set.









",Desserts,"Total Fat: 6.0, Saturated Fat: 2.0, Total Carbohydrate: 70.0, Dietary Fiber: 3.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/Gc2LqawZpqaCSWaMdsNx5RK9J2Y=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/481786-6c24ca3a641f43eea1597930a40b6178.jpg,quantity: 6.0 unit: piece ingredient: wooden craft sticks quantity: 1.0 unit: package ingredient: individually wrapped caramels quantity: 30 unit: g ingredient: milk,"apple, caramel, milk, wooden craft stick",25
German Apple Cake,"Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch cake pan.
Beat oil and eggs in a mixing bowl with an electric mixer until creamy. Add sugar and vanilla; beat well.
Stir together flour cinnamon baking soda and salt in a bowl. Slowly add flour mixture to egg mixture; mix until combined. The batter will be very thick. Fold in apples by hand using a wooden spoon. Spread batter into the prepared pan.
Bake cake in the preheated oven until a toothpick inserted into the center comes out clean about 45 minutes. Cool cake on a wire rack.",Cuisine,"Total Fat: 10.0, Saturated Fat: 1.0, Total Carbohydrate: 28.0, Dietary Fiber: 1.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/u5wGUc1jJfOfLV8eG9Fl87sTyEk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2327614-809148baeed6489bbab268a7d527a08a.jpg,quantity: 2.0 unit: piece ingredient: eggs quantity: 420 unit: g ingredient: white sugar quantity: 5 unit: g ingredient: vanilla extract quantity: 256 unit: g ingredient: all-purpose flour quantity: 10 unit: g ingredient: ground cinnamon quantity: 5 unit: g ingredient: baking soda quantity: 2 unit: g ingredient: salt quantity: 960 unit: ml ingredient: apples - peeled,"apple, baking soda, cinnamon, egg, flour, oil, salt, sugar, vanilla, vanilla extract, vegetable oil",60
Awesome Sausage Apple and Cranberry Stuffing,"Preheat the oven to 350 degrees F (175 degrees C).
Spread white and whole wheat bread cubes in a single layer on a large baking sheet.
Bake in the preheated oven until evenly toasted 5 to 7 minutes. Transfer toasted bread cubes to a large bowl.
Cook sausage and onions in a large skillet over medium heat stirring and breaking up lumps until evenly browned 6 to 8 minutes. Add celery sage rosemary and thyme; cook and stir until flavors blend about 2 minutes.
Pour sausage mixture over bread in bowl. Mix in chopped apple dried cranberries parsley and liver. Drizzle with turkey stock and melted butter; mix lightly.
Allow stuffing to cool completely before loosely stuffing a turkey.











Dotdash Meredith Food Studios
",Side Dish,"Total Fat: 12.0, Saturated Fat: 5.0, Total Carbohydrate: 22.0, Dietary Fiber: 2.0, Total Sugars: 0, Protein: 0",https://www.allrecipes.com/thmb/A16n6yykk6y6ofEi8akwV-6V9Ck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1x1-PASSANO_ALR0922_Faves_Stuffing_5279-7495521ab45c4b8880373657bedc0db5.jpg,quantity: 360 unit: ml ingredient: cubed whole wheat bread quantity: 450 unit: g ingredient: ground turkey sausage quantity: 240 unit: ml ingredient: chopped onion quantity: 180 unit: ml ingredient: chopped celery quantity: 12 unit: g ingredient: dried sage quantity: 8 unit: g ingredient: dried rosemary quantity: 2 unit: g ingredient: dried thyme quantity: 1.0 unit: piece ingredient: Golden Delicious apple quantity: 180 unit: ml ingredient: dried cranberries quantity: 79 unit: ml ingredient: minced fresh parsley quantity: 1.0 unit: piece ingredient: cooked turkey liver quantity: 180 unit: ml ingredient: turkey stock quantity: 60 unit: g ingredient: unsalted butter,"apple, bread, butter, celery, cranberry, onion, parsley, rosemary, sage, sausage, stock, thyme, turkey, turkey sausage, white bread, whole wheat bread",90
